266,REGISTRU DE OPERARE ȘI CURĂȚARE,Aparatul Soxhlet VELP,Nr. crt.,Data,Denumire probă/Produs,Tipul probei/Lot,Solvent utilizat,Semnătura,Observaţii
,,,1,25/01/2024,IN ECOLOGIC seminte MPA,001.02.22,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,2,25/01/2024,curatare ,001.02.22,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,3,30/01/2024,PB DANGNON -,produs cercetare ,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,4,30/01/2024,VP DANGONON,produs cercetare ,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,5,30/01/2024,curatare ,produs cercetare ,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,6,07/02/2024,CATINA fructe uscate MPA,001.02.24,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,7,07/02/2024,CATINA ecol. fructe pulb.,-,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,8,07/02/2024,curatare ,,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,9,14/03/2024,CATINA presata complet MPA,013.03.24,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,10,14/03/2024,curatare ,013.03.24,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,11,05/06/2024,Am. cps ARMUHEP,001.06.24,n-hexan,Cristina Luntraru,FUNCTIONAL
,,,12,05/06/2024,curatare ,001.06.24,n-hexan,Cristina Luntraru,FUNCTIONAL
,,,13,10/06/2024,ARMUHEP cps - vrac,001.06.24,n-hexan,Cristina Luntraru,FUNCTIONAL
,,,14,11/06/2024,curatare ,001.06.24,n-hexan,Cristina Luntraru,FUNCTIONAL
,,,15,18/07/2024,CATINA fruct Degresat MPA,001.07.24,n-hexan,Mihaela Neagu,FUNCTIONAL
,,,16,18/07/2024,curatare ,001.07.24,n-hexan,Mihaela Neagu,FUNCTIONAL
