44,Registru evidenta,Rapoarte de analiza,Nr. raport de analiză,Data primirii probei,Denumire produs,Serie,Rezoluție,Data eliberării raportului de analiză,Semnătura
,,,1.0,05/01/2024,Am. cpr PROTEIN FORTA,001.01.24,corespunde,15/01/2024,Mihaela Neagu
,,,2.0,08/01/2024,PROTEIN FORTA cpr acop. - vrac,001.01.24,corespunde,15/01/2024,Mihaela Neagu
,,,3.0,08/01/2024,Am. cpr SPIRULINA 1000 mg,001.01.24,corespunde,15/01/2024,Mihaela Neagu
,,,4.0,09/01/2024,SPIRULINA cpr 1000 mg,001.01.24,corespunde,15/01/2024,Mihaela Neagu
,,,5.0,12/01/2024,Am. cpr SPIRULINA cu extr. total catina,001.01.24,corespunde,29/01/2024,Mihaela Neagu
,,,6.0,12/01/2024,Amestec incaps.- Prod Iod,001.01.24,,,
,,,7.0,15/01/2024,SPIRULINA cu extr. total CATINA cpr - vrac,001.01.24,corespunde,29/01/2024,Mihaela Neagu
,,,8.0,15/01/2024,PRODUS IOD-cps. vrac,001.01.24,,,
,,,9.0,15/01/2024,PRODUS IOD-cps. vrac,002.01.24,,,
,,,10.0,15/01/2024,PRODUS IOD-cps. vrac,003.01.24,,,
,,,11.0,18/01/2024,PRODUS IOD - Amb. primara,001.01.24,,,
,,,12.0,18/01/2024,PRODUS IOD- Amb. Primara,002.01.24,,,
,,,13.0,18/01/2024,PRODUS IOD- Amb. Primara,003.01.24,,,
,,,14.0,25/01/2024,IN ECOLOGIC seminte MPA,001.02.22,Nu corespunde,30/01/2024,Mihaela Neagu
,,,15.0,30/01/2024,PB DANGNON -Prod CERCETARE,-,corespunde,30/01/2024,Mihaela Neagu
,,,16.0,30/01/2024,VP DANGONON Prod CERCETARE,-,corespunde,30/01/2024,Mihaela Neagu
,,,17.0,07/02/2024,CATINA fructe  ECO  (pulbere macinata) MPA,001.02.24,corespunde,20/02/2024,Mihaela Neagu
,,,18.0,28/02/2024,Am. cpr SPIRULINA 200 mg,001.02.24,corespunde,104/03/2024,Mihaela Neagu
,,,19.0,29/02/2024,SPIRULINA cpr 200 mg - vrac,001.02.24,corespunde,14/03/2024,Mihaela Neagu
,,,20.0,05/03/2024,Am. cpr SPIRULINA 1000 mg,011.03.24,corespunde,29/03/2024,Mihaela Neagu
,,,21.0,06/03/2024,SPIRULINA cpr 1000 mg,011.03.24,corespunde,29/03/2024,Mihaela Neagu
,,,22.0,06/03/2024,Am. cps SPIRULINA 500 mg,001.03.24,corespunde,14/03/2024,Mihaela Neagu
,,,23.0,07/03/2024,Am. cpr COMPLEX ALFALFA,001.03.24,corespunde,14/03/2024,Mihaela Neagu
,,,24.0,07/03/2024,SPIRULINA cps 500 mg - vrac,001.03.24,corespunde,14/03/2024,Mihaela Neagu
,,,25.0,12/03/2024,COMPLEX ALFALFA cpr acop. - vrac,001.03.24,corespunde,29/03/2024,Mihaela Neagu
,,,26.0,13/03/2024,CATINA presata complet,-,corespunde,,Mihaela Neagu
,,,27.0,26/03/2024,Am. cps VEDISAN,001.03.24,corespunde,29/03/2024,Mihaela Neagu
,,,28.0,03/04/2024,VEDISAN cps - vrac,001.03.24,corespunde,03/04/2024,Mihaela Neagu
,,,29.0,18/04/2024,Am. cpr SPIRULINA 1000 mg,021.04.24,corespunde,09/05/2024,Mihaela Neagu
,,,30.0,19/04/2024,SPIRULINA cpr 1000 mg,021.04.24,corespunde,09/05/2024,Mihaela Neagu
,,,31.0,13/05/2024,Am. cpr SPIRULINA cu extr. total catina,011.05.24,corespunde,31/05/2024,Mihaela Neagu
,,,32.0,14/05/2024,SPIRULINA cu extr. total CATINA cpr - vrac,011.05.24,corespunde,31/05/2024,Mihaela Neagu
,,,33.0,29/05/2024,Am. cpr PROTEIN FORTA,002.05.24,corespunde,31/05/2024,Mihaela Neagu
,,,34.0,29/05/2024,Am. cpr SPIRULINA 1000 mg,031.05.24,corespunde,31/05/2024,Mihaela Neagu
,,,35.0,03/06/2024,SPIRULINA cpr 1000 mg,031.05.24,corespunde,13/06/2024,Mihaela Neagu
,,,36.0,05/06/2024,Am. cps ARMUHEP,001.06.24,corespunde,12/06/2024,Cristina Luntraru
,,,37.0,05/06/2024,PROTEIN FORTA cpr acop. - vrac,002.05.24,corespunde,19/06/2024,Mihaela Neagu
,,,38.0,10/06/2024,ARMUHEP cps - vrac,001.06.24,corespunde,12/06/2024,Cristina Luntraru
,,,39.0,12/06/2024,Am. cpr COMPLEX ALFALFA,002.06.24,corespunde,17/06/2024,Cristina Luntraru
,,,40.0,13/06/2024,SPIRULINA biomasa,YJS20240204,corespunde,17/06/2024,Cristina Luntraru
,,,41.0,13/06/2024,SPIRULINA biomasa,YJS20240205,corespunde,17/06/2024,Cristina Luntraru
,,,42.0,13/06/2024,SPIRULINA biomasa,YJS20240206,corespunde,19/06/2024,Mihaela Neagu
,,,43.0,13/06/2024,SPIRULINA biomasa,YJS20240207,corespunde,19/06/2024,Mihaela Neagu
,,,44.0,13/06/2024,SPIRULINA biomasa,YJS20240208,corespunde,19/06/2024,Mihaela Neagu
,,,45.0,13/06/2024,SPIRULINA biomasa,YJS20240209,corespunde,19/06/2024,Mihaela Neagu
,,,46.0,18/06/2024,COMPLEX ALFALFA cpr acop. - vrac,002.06.24,corespunde,19/06/2024,Mihaela Neagu
,,,47.0,11/07/2024,Am. cpr SPIRULINA 1000 mg,041.07.24,corespunde,23/07/2024,Mihaela Neagu
,,,48.0,12/07/2024,SPIRULINA cpr 1000 mg,041.07.24,corespunde,23/07/2024,Mihaela Neagu
,,,49.0,17/07/2024,Lucerna MPA ECO,001.07.24,Nu corespunde,23/07/2024,Mihaela Neagu
,,,50.0,17/07/2024,CATINA fruct Degresat MPA,001.07.24,corespunde,18/07/2024,Mihaela Neagu
,,,51.0,24/07/2024,Am. cpr COMPLET HOFIGAL ANTIOXIDANT,001.07.24,corespunde,25/07/2024,Mihaela Neagu
,,,52.0,01/08/2024,COMPLET HOFIGAL ANTIOXIDANT cpr acop.,001.07.24,corespunde,02/08/2024,Cristina Luntraru
,,,53.0,27/08/2024,Am. cpr SPIRULINA 1000 mg,051.08.24,corespunde,30/08/2024,Mihaela Neagu
,,,54.0,27/08/2024,SPIRULINA cpr 1000 mg,051.08.24,corespunde,30/08/2024,Mihaela Neagu
,,,55.0,09/09/2024,Am. cpr COMPLET HOFIGAL ANTIOXIDANT,002.09.24,corespunde,11/09/2024,TJA/AO
,,,56.0,17/09/2024,COMPLET HOFIGAL ANTIOXIDANT cpr acop.,002.09.24,corespunde,17/09/2024,MN/AO
,,,57.0,11/09/2024,AmA incps LICOPROSTAT FORTE PI,001.09.24,corespunde,18/09/2024,Tomescu Justinian 
,,,58.0,13/09/2024,LICOPROSTAT FORTE -PV,001.09.24,corespunde,18/09/2024,Tomescu Justinian 
,,,59.0,30/08/2024,Coji seminte de Floarea Soarelui,001.08.24,corespunde,24/09/2024,MN/AO
,,,60.0,19/09/2024,Am. cpr SPIRULINA cu extr. total catina,021.09.24,corespunde,24/09/2024,MN/AO
,,,61.0,20/09/2024,SPIRULINA cu extr. total CATINA cpr - vrac,021.09.24,corespunde,24/09/2024,MN/AO
,,,62.0,10-01-2025,sp,444,test,24-01-2025,mn
