432,"Registru operare, verificare, calibrare  şi curăţare al balanței analitice",Balanta Partner AS 310 R2,Nr. crt.,Data,Operaţia/Denumirea probei,Serie/Lot,"Masa cântărită, g",Semnătura persoanei care a efectuat operaţia,Observaţii
,,,1,09/01/2024,Am. cpr PROTEIN FORTA,001.01.24,0.1427,Mihaela Neagu ,functional 
,,,2,09/01/2024,PROTEIN FORTA cpr acop. - vrac,001.01.24,0.1492,Mihaela Neagu ,functional 
,,,3,09/01/2024,curatare,,,Mihaela Neagu ,functional 
,,,4,09/01/2024,calibare,,,Mihaela Neagu ,functional 
,,,5,11/01/2024,Am. cpr SPIRULINA 1000 mg,001.01.24,0.1417,Mihaela Neagu ,functional 
,,,6,11/01/2024,SPIRULINA cpr 1000 mg,001.01.24,0.1495,Mihaela Neagu ,functional 
,,,7,11/01/2024,curatare ,,,Mihaela Neagu,functional 
,,,8,11/01/2024,calibare ,,,Mihaela Neagu,functional 
,,,9,25/01/2024,Am. cpr SPIRULINA cu extr. total catina,001.01.24,0.1492,Mihaela Neagu ,functional 
,,,10,25/01/2024,SPIRULINA cu extr. total CATINA cpr - vrac,001.01.24,0.1485,Mihaela Neagu ,functional 
,,,11,25/01/2024,curatare ,,,Mihaela Neagu,functional 
,,,12,25/01/2024,calibare,,,Mihaela Neagu,functional 
,,,13,30/01/2024,PB DANGNON -Prod CERCETARE,c,5.2975,Mihaela Neagu ,functional 
,,,14,30/01/2024,VP DANGONON Prod CERCETARE,-,5.134,Mihaela Neagu ,functional 
,,,15,30/01/2024,IN ECOLOGIC seminte MPA,001.02.22,5.2696,Mihaela Neagu ,functional 
,,,16,30/01/2024,curatare ,,,Mihaela Neagu,functional 
,,,17,30/01/2024,calibare ,,,Mihaela Neagu,functional 
,,,18,20/02/2024,curatare,,,Mihaela Neagu,functional 
,,,19,20/02/2024,calibare ,,,Mihaela Neagu ,functional 
,,,20,20/02/2024,CATINA fructe uscate MPA,001.02.2024,5.1418,Mihaela Neagu ,functional 
,,,21,12/03/2024,Am. cpr SPIRULINA 200 mg,001.02.24,0.1455,Mihaela Neagu ,functional 
,,,22,12/03/2024,SPIRULINA cpr 200 mg - vrac,001.02.24,0.1427,Mihaela Neagu ,functional 
,,,23,12/03/2024,Am. cps SPIRULINA 500 mg,001.03.24,0.141,Mihaela Neagu ,functional 
,,,24,12/03/2024,Am. cpr COMPLEX ALFALFA,001.03.24,0.2681,Mihaela Neagu ,functional 
,,,25,12/03/2024,SPIRULINA cps 500 mg - vrac,001.03.24,0.1409,Mihaela Neagu ,functional 
,,,26,12/03/2024,curatare,,,Mihaela Neagu,functional 
,,,27,12/03/2024,calibare ,,,Mihaela Neagu ,functional 
,,,28,14/03/2024,CATINA ecol. fructe pulb.,-,5.1586,Mihaela Neagu ,functional 
,,,29,14/03/2024,curatare ,,,Mihaela Neagu,functional 
,,,30,14/03/2024,calibrare,,,Mihaela Neagu,functional 
,,,31,27/03/2024,Am. cps VEDISAN,001.03.24,0.5292,Mihaela Neagu ,functional 
,,,32,27/03/2024,curatare ,,,,
,,,33,27/03/2024,calibare ,,,,
,,,34,28/03/2024,COMPLEX ALFALFA cpr acop. - vrac,001.03.24,0.2435,Mihaela Neagu ,functional 
